ID	B_IN	B_Mem	Plasma	CD4_ET	CD4_NC	CD4_SOX4	CD8_ET	CD8_NC	CD8_S100B	DC1	Mono_C	Mono_NC	NK	NK_R
ENSGEXAMPLE001-rs000001	-0.075257718	0.1083361849	-0.210852774	0.1296320087	0.0682950677	-0.1091288174	0.2790645099	-0.237936925	0.3725882849	-0.6094615193	0.406462611	-0.3042060346	0.0656391942	0.3898074073
ENSGEXAMPLE002-rs000002	0.312389976	0.2589279064	-0.181482125	0.3080546528	0.1639401523	0.1322776404	-0.3077804744	0.254260579	0.0388594238	0.2632890736	0.4409524982	0.0249942807	0.0656268948	-0.0696457327
ENSGEXAMPLE003-rs000003	0.031136807	-0.0233379281	-0.051936117	-0.5229452184	0.250350028	-0.4630149084	0.3046994688	0.205780335	-0.1354808747	-0.216279262	-0.2933407524	-0.0473006681	0.0971767709	0.2262937657
ENSGEXAMPLE004-rs000004	-0.022625718	-0.0194447217	0.135066531	0.0204488536	0.1095162815	0.0859210657	-0.2376204167	-0.255314999	-0.5080919858	0.039289549	-0.2487049635	-0.0973964546	0.2971319974	-0.1611139583
ENSGEXAMPLE005-rs000005	-0.198039258	-0.1670417028	-0.482328237	-0.2209005737	0.1851391888	0.3768183879	-0.1848736438	0.300138824	0.3109220583	-0.0992720302	0.1623104337	0.234104766	0.1256831325	0.3194905806
ENSGEXAMPLE006-rs000006	-0.234001659	0.0594233123	0.24267626	-0.1902010706	-0.0367105766	0.1274189533	0.2159159046	0.067514505	0.1083048057	0.0027607708	-0.102065589	-0.3672197517	-0.1418969678	0.0688446806
ENSGEXAMPLE007-rs000007	0.581287995	0.0008308593	-0.094195675	-0.2232679666	-0.2266084807	0.1640153462	-0.6492327759	-0.016166483	0.2309736387	-0.2090022953	-0.1714239413	0.0578414109	-0.0985482874	-0.4129065968
ENSGEXAMPLE008-rs000008	0.104137595	-0.2816866769	-0.182359609	-0.0373717644	0.2524661459	0.2223322622	-0.1162320827	0.182247941	0.2973471585	0.3090636586	-0.1323892654	0.4947313197	0.1229780457	-0.1822065979
ENSGEXAMPLE009-rs000009	0.254588253	0.0608618826	-0.314703377	-0.1710981604	0.2472699902	0.3910705526	0.1008649288	0.313085153	0.3934438794	-0.0273971664	-0.1179055628	-0.1517437594	0.0897392459	0.0690850149
ENSGEXAMPLE010-rs000010	-0.03280795	-0.2806395327	-0.213830487	0.3380071333	-0.164877244	-0.106243795	-0.5443022143	-0.254954683	-0.0398591392	0.1968219897	0.1685821751	-0.4834271231	-0.1746490559	0.1349719383
ENSGEXAMPLE011-rs000011	-0.24122317	0.062453211	-0.057709957	-0.2639546592	-0.0999473147	0.3745495012	-0.0436000464	0.168328263	-0.2439795009	-0.0906049749	-0.224944305	-0.0715905244	0.1828855956	-0.177543216
