ID	B_IN	B_Mem	Plasma	CD4_ET	CD4_NC	CD4_SOX4	CD8_ET	CD8_NC	CD8_S100B	DC1	Mono_C	Mono_NC	NK	NK_R
ENSGEXAMPLE001-rs000001	0.0553457376	0.061525177	0.08070681	0.057057592	-0.353986781	-0.159154281	-0.14536293	-0.2360782138	0.080290526	-0.3824325	0.1209699174	-0.384851034	0.0755842	-0.165944625
ENSGEXAMPLE002-rs000002	0.0948731669	0.338971571	-0.1978349	0.523252893	0.137943803	0.054628043	-0.414237953	0.3574732566	0.08878861	-0.06839138	0.2427275615	0.088790071	0.2330777	0.219744339
ENSGEXAMPLE003-rs000003	0.0529492242	-0.294619664	-0.1741629	-0.238886252	0.212141787	-0.133547149	-0.105145411	0.1911799312	-0.25055464	-0.3984906	-0.4177562184	-0.293613504	-0.1353273	-0.044558928
ENSGEXAMPLE004-rs000004	0.0768730478	-0.23424101	0.4468232	0.035015361	0.115628518	0.36218424	0.053577502	0.1917914702	-0.287518833	0.1483172	-0.0281938218	-0.170878101	-0.04573726	-0.110465311
ENSGEXAMPLE005-rs000005	-0.2994453549	-0.264826969	-0.1816376	-0.131893807	0.381557366	0.007434707	-0.055215429	0.1876204055	0.096339583	0.1470052	-0.1107529791	0.238048422	0.2228824	0.204583636
ENSGEXAMPLE006-rs000006	-0.2208811037	0.075833492	0.05063983	-0.321734702	-0.152543953	-0.058879878	0.263344844	0.1791765921	-0.044637507	-0.1052079	-0.062173737	-0.126601437	-0.2189559	0.072970653
ENSGEXAMPLE007-rs000007	0.4597781847	0.229910301	-0.1973566	-0.722758064	-0.120016684	-0.10673084	-0.553285294	0.2027482029	0.336409688	-0.03935984	-0.1892235959	0.2906166	-0.02919954	-0.068686106
ENSGEXAMPLE008-rs000008	0.1838568643	0.015062416	-0.2796468	-0.00419467	0.084567901	0.136569136	0.025997173	0.039651754	-0.003838237	0.1440415	0.2098772402	0.390730828	-0.02296141	-0.318569498
ENSGEXAMPLE009-rs000009	0.1442855555	0.210526484	-0.3164461	0.188116443	0.256418578	0.246777107	-0.142078378	0.2264746516	0.445706644	-0.2130385	-0.06530161	-0.280810964	0.2179526	0.052699832
ENSGEXAMPLE010-rs000010	0.0012041716	-0.090955311	0.06155747	0.104396098	-0.017000109	-0.178264226	-0.321381427	-0.2200051112	0.068753844	-0.1810602	0.2417900334	-0.283077859	0.0475906	-0.203246362
ENSGEXAMPLE011-rs000011	0.1356048595	0.283633055	0.09138679	0.175858767	0.219651987	0.19899737	0.141606091	0.0045478442	-0.282932092	0.06072475	-0.0927443243	-0.117636425	0.2004567	-0.128271137
ENSGEXAMPLE012-rs000012	0.1719399843	-0.001715992	0.2280866	0.031851181	0.304242057	-0.300787805	0.454662334	-0.492624696	-0.083511725	0.2463684	0.0360073045	0.351906197	-0.1840449	0.409587271
ENSGEXAMPLE013-rs000013	0.1755906391	0.303534162	0.3250538	0.277349057	0.023551909	0.032849308	0.347862566	0.1641818129	-0.263206261	-0.1426536	-0.1377063469	0.149868064	0.4007328	0.226172683
ENSGEXAMPLE014-rs000014	-0.0634270486	-0.28561827	-0.1885341	-0.301925592	0.048129325	0.231767565	0.19416771	-0.5524742634	0.075224436	-0.031385	-0.0156471044	0.017879924	0.3059134	-0.036576217
ENSGEXAMPLE015-rs000015	-0.1526156497	0.159088714	0.1840301	0.261341893	-0.156400211	0.062039227	0.177757101	-0.0011242382	-0.26998699	0.2705359	0.0349725511	0.09615921	-0.3131029	-0.373901582
ENSGEXAMPLE016-rs000016	-0.4161767757	-0.134867326	-0.2628866	-0.265193856	-0.180072667	0.145856695	-0.298802167	-0.3122241562	-0.172759455	-0.1937542	-0.5359825381	-0.364735888	-0.1182063	0.143018804
ENSGEXAMPLE017-rs000017	0.2513360851	-0.15014196	-0.1044167	-0.07333463	-0.21839435	-0.059312533	0.164583407	0.1529189867	0.15692426	-0.1151446	0.0236563966	-0.258249901	0.08999399	0.17059734
ENSGEXAMPLE018-rs000018	0.2237342192	-0.028281353	-0.1045588	0.18036182	-0.073334403	-0.019686226	0.175400503	-0.1301019773	0.025323136	-0.1102577	-0.0901733632	-0.097636591	0.3085903	-0.21016768
ENSGEXAMPLE019-rs000019	0.4259237288	-0.048435167	0.2448967	-0.30951741	-0.115883299	-0.169340824	0.003431308	-0.2548468172	0.163042731	0.08026026	0.0414549127	0.097308255	0.1334784	0.030258874
ENSGEXAMPLE020-rs000020	-0.3055429684	0.224723103	-3.618625e-05	-0.110161877	0.381431264	0.269432474	-0.256829483	0.1012129077	-0.387232739	0.04372927	-0.0050250953	0.046704456	0.07261752	0.005234791
ENSGEXAMPLE021-rs000021	-0.3277107843	-0.16766444	-0.406629	-0.142412381	0.392323175	0.12456905	0.143054514	-0.0378743055	-0.272559904	0.13966	-0.2450671175	-0.091487849	-0.22871	0.171390282
ENSGEXAMPLE022-rs000022	0.169082564	-0.042428493	-0.159928	-0.405571528	-0.032744906	-0.073240885	-0.391093519	0.0304952602	0.273934702	0.02705836	0.0495341577	-0.09494937	0.02495914	-0.141334972
ENSGEXAMPLE023-rs000023	-0.1823842601	-0.327163034	-0.5676363	-0.147253839	-0.370490163	-0.154452061	-0.403356024	-0.1914038434	0.321731739	0.004503371	0.3187685233	0.098810536	-0.1066777	0.181670997
